Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
FORD Edge,2.7,6,SemiAuto-8,4WD,Gasoline,small SUV,5,19,25,21,4,No,421
FORD Escape,1.5,3,Auto-8,2WD,Gasoline,small SUV,7,27,34,30,6,No,299
FORD Escape,1.5,3,Auto-8,4WD,Gasoline,small SUV,7,26,32,28,6,No,317
FORD Escape,2,4,Auto-8,4WD,Gasoline,small SUV,7,23,31,26,5,No,340
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,6,16,23,19,4,No,468
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,standard SUV,6,17,23,19,4,No,462
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,6,16,21,18,4,No,494
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,6,16,22,18,4,No,484
FORD Explorer,2.3,4,Auto-10,2WD,Gasoline,standard SUV,6,20,28,23,5,No,385
FORD Explorer,2.3,4,Auto-10,2WD,Gasoline,standard SUV,6,21,28,24,5,No,370
FORD Explorer,2.3,4,Auto-10,4WD,Gasoline,standard SUV,6,20,26,22,5,No,404
FORD Explorer,2.3,4,Auto-10,4WD,Gasoline,standard SUV,6,20,27,23,5,No,387
FORD Explorer,3,6,Auto-10,2WD,Gasoline,standard SUV,5,18,26,21,4,No,428
FORD Explorer,3,6,Auto-10,4WD,Gasoline,standard SUV,5,17,24,20,4,No,451
FORD Explorer,3,6,Auto-10,4WD,Gasoline,standard SUV,5,18,24,20,4,No,444
FORD Explorer,3,6,SemiAuto-10,2WD,Gasoline,standard SUV,5,18,25,20,4,No,438
FORD Explorer,3,6,SemiAuto-10,4WD,Gasoline,standard SUV,5,17,24,20,4,No,454
FORD Explorer,3,6,SemiAuto-10,4WD,Gasoline,standard SUV,5,18,24,20,4,No,445
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,6,18,25,21,4,No,431
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,6,20,26,22,5,No,405
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,6,17,23,20,4,No,451
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,6,18,24,20,4,No,435
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,6,18,24,21,4,No,432
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,6,17,23,19,4,No,470
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,6,18,23,20,4,No,451
FORD Maverick,2,4,Auto-8,2WD,Gasoline,pickup,6,23,30,25,5,No,355
FORD Maverick,2,4,Auto-8,4WD,Gasoline,pickup,6,22,28,24,5,No,370
FORD Mustang,2.3,4,Auto-10,2WD,Gasoline,small car,5,22,32,25,5,No,350
FORD Mustang,2.3,4,Man-6,2WD,Gasoline,small car,5,21,29,24,5,No,371
FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,small car,5,21,31,24,5,No,363
FORD Mustang,5,8,Man-6,2WD,Gasoline,small car,3,15,24,18,4,No,498
FORD Mustang,5,8,SemiAuto-10,2WD,Gasoline,small car,3,15,24,19,4,No,480
FORD Ranger,2.3,4,SemiAuto-10,2WD,Gasoline,pickup,6,20,26,22,5,No,397
FORD Ranger,2.3,4,SemiAuto-10,2WD,Gasoline,pickup,6,21,26,23,5,No,387
FORD Ranger,2.3,4,SemiAuto-10,4WD,Gasoline,pickup,6,19,24,21,4,No,420
FORD Ranger,2.3,4,SemiAuto-10,4WD,Gasoline,pickup,6,20,24,22,5,No,410
GENESIS G70,2,4,SemiAuto-8,2WD,Gasoline,small car,3,21,31,25,5,No,361
GENESIS G70,2,4,SemiAuto-8,4WD,Gasoline,small car,3,20,28,23,5,No,393
GENESIS G70,3.3,6,SemiAuto-8,2WD,Gasoline,small car,3,18,27,21,4,No,433
GENESIS G70,3.3,6,SemiAuto-8,4WD,Gasoline,small car,3,17,26,20,4,No,439
GENESIS G80,2.5,4,SemiAuto-8,2WD,Gasoline,large car,5,22,32,26,5,No,346
GENESIS G80,2.5,4,SemiAuto-8,4WD,Gasoline,large car,5,22,30,25,5,No,361
GENESIS G80,3.5,6,SemiAuto-8,4WD,Gasoline,large car,5,16,25,19,4,No,465
GENESIS G90,3.5,6,SemiAuto-8,4WD,Gasoline,large car,5,18,26,21,4,No,426
GENESIS GV70,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,19,26,22,5,No,408
GENESIS GV70,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,22,28,24,5,No,368
GENESIS GV70,3.5,6,SemiAuto-8,4WD,Gasoline,small SUV,5,19,24,21,4,No,431
GENESIS GV80,2.5,4,SemiAuto-8,4WD,Gasoline,standard SUV,5,20,24,22,5,No,404
GENESIS GV80,3.5,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,18,23,20,4,No,448
GMC Acadia,2,4,Auto-9,2WD,Gasoline,standard SUV,7,22,29,25,5,No,365
GMC Acadia,2,4,Auto-9,4WD,Gasoline,standard SUV,7,22,27,24,5,No,368
GMC Acadia,3.6,6,Auto-9,2WD,Gasoline,standard SUV,6,19,27,22,5,No,404
GMC Acadia,3.6,6,Auto-9,4WD,Gasoline,standard SUV,6,19,26,21,4,No,417
GMC Canyon,2.7,4,Auto-8,2WD,Gasoline,pickup,7,18,23,20,4,No,446
GMC Canyon,2.7,4,Auto-8,4WD,Gasoline,pickup,7,17,20,18,4,No,495
GMC Canyon,2.7,4,Auto-8,4WD,Gasoline,pickup,7,17,21,19,4,No,467
GMC Canyon AT4X,2.7,4,Auto-8,4WD,Gasoline,pickup,7,16,16,16,3,No,539
GMC Sierra,2.7,4,Auto-8,2WD,Gasoline,pickup,7,19,21,20,4,No,453
GMC Sierra,2.7,4,Auto-8,2WD,Gasoline,pickup,7,19,22,20,4,No,446
GMC Sierra,2.7,4,Auto-8,4WD,Gasoline,pickup,7,18,20,19,4,No,467
GMC Sierra,2.7,4,Auto-8,4WD,Gasoline,pickup,7,18,20,19,4,No,468
GMC Sierra,3,6,Auto-10,2WD,Diesel,pickup,5,24,29,26,5,No,396
GMC Sierra,3,6,Auto-10,4WD,Diesel,pickup,5,22,27,24,4,No,423
GMC Sierra,5.3,8,Auto-10,2WD,Gasoline,pickup,6,16,20,18,4,No,500
GMC Sierra,5.3,8,Auto-10,2WD,Gasoline,pickup,6,16,21,18,4,No,493
GMC Sierra,5.3,8,Auto-10,2WD,Gasoline,special purpose,6,15,18,16,3,No,553
GMC Sierra,5.3,8,Auto-10,4WD,Gasoline,pickup,6,15,19,17,3,No,535
GMC Sierra,5.3,8,Auto-10,4WD,Gasoline,pickup,6,16,20,17,3,No,523
GMC Sierra,5.3,8,Auto-10,4WD,Gasoline,special purpose,6,15,17,16,3,No,564
GMC Sierra,6.2,8,Auto-10,4WD,Gasoline,pickup,6,15,19,17,3,No,530
GMC Terrain,1.5,4,Auto-9,2WD,Gasoline,small SUV,7,24,29,26,5,No,338
GMC Terrain,1.5,4,Auto-9,4WD,Gasoline,small SUV,7,24,28,26,5,No,347
GMC Yukon,3,6,Auto-10,2WD,Diesel,standard SUV,3,21,27,23,4,No,442
GMC Yukon,3,6,Auto-10,4WD,Diesel,standard SUV,3,20,26,22,4,No,462
GMC Yukon,5.3,8,Auto-10,2WD,Gasoline,standard SUV,6,15,20,17,3,No,527
GMC Yukon,5.3,8,Auto-10,4WD,Gasoline,standard SUV,6,15,20,17,3,No,527
GMC Yukon,6.2,8,Auto-10,2WD,Gasoline,standard SUV,6,14,20,16,3,No,555
GMC Yukon,6.2,8,Auto-10,4WD,Gasoline,standard SUV,6,14,18,16,3,No,564
HONDA Accord,1.5,4,CVT,2WD,Gasoline,large car,7,29,37,32,6,No,277
HONDA Accord,2,4,CVT,2WD,Gasoline,large car,7,51,44,48,8,Yes,184
HONDA CR-V,1.5,4,CVT,2WD,Gasoline,small SUV,7,28,34,30,6,No,290
HONDA CR-V,1.5,4,CVT,4WD,Gasoline,small SUV,6,27,32,29,6,No,305
HONDA CR-V,2,4,CVT,2WD,Gasoline,small SUV,7,43,36,40,7,Yes,223
HONDA CR-V,2,4,CVT,4WD,Gasoline,small SUV,7,40,34,37,7,Yes,237
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,7,33,42,36,7,Yes,243
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,6,27,37,31,6,No,285
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,midsize car,7,31,38,34,7,Yes,260
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,midsize car,7,31,40,35,7,Yes,254
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,midsize car,7,30,37,33,6,No,266
HONDA HR-V,2,4,CVT,2WD,Gasoline,station wagon,7,26,32,28,6,No,309
HONDA HR-V,2,4,CVT,4WD,Gasoline,station wagon,7,25,30,27,5,No,326
HONDA Odyssey,3.5,6,SemiAuto-10,2WD,Gasoline,minivan,5,19,28,22,5,No,394
HONDA Passport,3.5,6,SemiAuto-9,4WD,Gasoline,small SUV,3,19,24,21,4,No,416
HONDA Pilot,3.5,6,SemiAuto-10,2WD,Gasoline,small SUV,7,19,27,22,5,No,402
HONDA Pilot,3.5,6,SemiAuto-10,4WD,Gasoline,standard SUV,7,19,25,21,4,No,415
HONDA Ridgeline,3.5,6,SemiAuto-9,4WD,Gasoline,pickup,3,18,24,21,4,No,441
HYUNDAI Elantra,1.6,4,AMS-7,2WD,Gasoline,midsize car,5,28,36,31,6,No,288
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,midsize car,7,30,40,34,7,Yes,263
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,midsize car,7,33,42,37,7,Yes,245
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,midsize car,5,30,40,34,7,No,263
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,midsize car,5,33,42,37,7,No,245
HYUNDAI Kona,1.6,4,AMS-7,2WD,Gasoline,small SUV,5,29,35,32,6,No,284
HYUNDAI Kona,1.6,4,AMS-7,4WD,Gasoline,small SUV,5,27,32,29,6,No,311
HYUNDAI Kona,2,4,SCV-1,2WD,Gasoline,small SUV,7,30,35,32,6,No,281
HYUNDAI Kona,2,4,SCV-1,4WD,Gasoline,small SUV,7,28,33,30,6,No,301
HYUNDAI Kona N,2,4,AMS-8,2WD,Gasoline,small SUV,3,20,27,23,5,No,396
HYUNDAI Palisade,3.8,6,SemiAuto-8,2WD,Gasoline,small SUV,5,19,27,22,5,No,406
HYUNDAI Palisade,3.8,6,SemiAuto-8,4WD,Gasoline,small SUV,5,19,25,21,4,No,422
HYUNDAI Santa Cruz,2.5,4,AMS-8,4WD,Gasoline,small SUV,5,19,27,22,5,No,402
HYUNDAI Santa Cruz,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,5,22,26,23,5,No,381
HYUNDAI Santa Cruz,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,21,25,23,5,No,390
HYUNDAI Santa Fe,2.5,4,AMS-8,2WD,Gasoline,small SUV,5,22,28,25,5,No,365
HYUNDAI Santa Fe,2.5,4,AMS-8,4WD,Gasoline,small SUV,5,21,28,24,5,No,375
HYUNDAI Santa Fe,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,7,25,28,26,5,No,344
HYUNDAI Santa Fe,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,7,22,25,24,5,No,378
HYUNDAI Sonata,1.6,4,SemiAuto-8,2WD,Gasoline,large car,5,27,37,31,6,No,293
HYUNDAI Sonata,2.5,4,AMS-8,2WD,Gasoline,large car,5,23,33,27,5,No,335
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,large car,7,27,37,31,6,No,293
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,large car,7,28,38,32,6,No,282
HYUNDAI Tuscon,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,7,25,32,28,6,No,322
HYUNDAI Tuscon,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,7,23,28,25,5,No,351
HYUNDAI Venue,1.6,4,SCV-1,2WD,Gasoline,midsize car,5,29,33,31,6,No,290
INFINITI Q50,3,6,SemiAuto-7,2WD,Gasoline,midsize car,3,20,29,23,5,No,388
INFINITI Q50,3,6,SemiAuto-7,4WD,Gasoline,midsize car,3,19,27,22,5,No,403
INFINITI QX50,2,4,SCV-8,2WD,Gasoline,small SUV,6,23,29,26,5,No,343
INFINITI QX50,2,4,SCV-8,4WD,Gasoline,small SUV,6,22,28,25,5,No,357
INFINITI QX55,2,4,SCV-8,4WD,Gasoline,small SUV,6,22,28,25,5,No,366
INFINITI QX60,3.5,6,SemiAuto-9,2WD,Gasoline,standard SUV,5,21,26,23,5,No,387
INFINITI QX60,3.5,6,SemiAuto-9,4WD,Gasoline,standard SUV,5,20,25,22,5,No,405
INFINITI QX80,5.6,8,SemiAuto-7,2WD,Gasoline,standard SUV,3,14,20,16,3,No,552
INFINITI QX80,5.6,8,SemiAuto-7,4WD,Gasoline,standard SUV,3,13,19,15,2,No,592
INFINITI QX80,5.6,8,SemiAuto-7,4WD,Gasoline,standard SUV,3,13,19,15,2,No,593
JAGUAR E-Pace,2,4,SemiAuto-9,4WD,Gasoline,small SUV,7,20,26,23,5,No,398
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Gasoline,small SUV,7,22,27,24,5,No,365
JAGUAR F-Pace P340 MHEV,3,6,SemiAuto-8,4WD,Gasoline,small SUV,7,20,27,22,5,No,402
JAGUAR F-Pace P400 MHEV,3,6,SemiAuto-8,4WD,Gasoline,small SUV,7,19,26,22,5,No,408
JAGUAR F-Pace SVR,5,8,SemiAuto-8,4WD,Gasoline,small SUV,3,15,21,17,3,No,509
JAGUAR F-Type P450 Convertible,5,8,SemiAuto-8,2WD,Gasoline,small car,3,17,24,19,4,No,460
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4WD,Gasoline,small car,3,16,24,18,4,No,481
JAGUAR XF P250,2,4,SemiAuto-8,2WD,Gasoline,midsize car,7,25,33,28,6,No,317
JAGUAR XF P250,2,4,SemiAuto-8,4WD,Gasoline,midsize car,7,23,32,26,5,No,336
JAGUAR XF P300,2,4,SemiAuto-8,4WD,Gasoline,midsize car,7,22,30,25,5,No,352
JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,small SUV,6,21,29,24,5,No,370
JEEP Compass,2,4,Auto-8,4WD,Gasoline,small SUV,7,24,32,27,5,No,330
JEEP Gladiator,3.6,6,Auto-8,4WD,Gasoline,pickup,7,17,22,19,4,No,466
JEEP Gladiator,3.6,6,Man-6,4WD,Gasoline,pickup,5,16,23,19,4,No,476
JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,standard SUV,7,19,26,22,5,No,407
JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,standard SUV,7,19,26,22,5,No,413
JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,standard SUV,5,14,22,17,3,No,533
JEEP Grand Wagoneer,3,6,Auto-8,4WD,Gasoline,standard SUV,5,14,20,17,3,No,537
JEEP Grand Wagoneer,6.4,8,Auto-8,4WD,Gasoline,standard SUV,1,13,18,15,2,No,602
JEEP Renegade,1.3,4,Auto-9,4WD,Gasoline,small SUV,6,23,29,26,5,No,347
JEEP Wagoneer,3,6,Auto-8,2WD,Gasoline,standard SUV,6,17,24,20,4,No,453
JEEP Wagoneer,3,6,Auto-8,4WD,Gasoline,standard SUV,6,16,23,19,4,No,472
JEEP Wagoneer,5.7,8,Auto-8,2WD,Gasoline,standard SUV,5,16,22,18,4,No,483
JEEP Wagoneer,5.7,8,Auto-8,4WD,Gasoline,standard SUV,5,15,20,17,3,No,522
JEEP Wrangler,2,4,Auto-8,4WD,Gasoline,small SUV,5,21,24,22,5,No,404
JEEP Wrangler,2,4,Auto-8,4WD,Gasoline,small SUV,5,22,24,23,5,No,388
JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,small SUV,7,18,23,20,4,No,440
JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,small SUV,7,18,23,20,4,No,443
JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,small SUV,7,19,24,21,4,No,421
JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,small SUV,7,20,24,21,4,No,416
JEEP Wrangler,3.6,6,Man-6,4WD,Gasoline,small SUV,5,17,23,19,4,No,459
JEEP Wrangler,3.6,6,Man-6,4WD,Gasoline,small SUV,5,17,25,20,4,No,446
JEEP Wrangler,6.4,8,Auto-8,4WD,Gasoline,small SUV,1,13,17,14,2,No,623
KIA Carnival,3.5,6,SemiAuto-8,2WD,Gasoline,minivan,5,19,26,22,5,No,408
KIA Forte,1.6,4,AMS-7,2WD,Gasoline,midsize car,5,27,35,30,6,No,296
KIA Forte,1.6,4,Man-6,2WD,Gasoline,midsize car,5,22,31,26,5,No,348
KIA Forte,2,4,CVT,2WD,Gasoline,midsize car,7,28,39,32,6,No,277
KIA Forte FE,2,4,CVT,2WD,Gasoline,midsize car,7,30,41,34,7,Yes,261
KIA K5,1.6,4,SemiAuto-8,2WD,Gasoline,large car,5,27,37,31,6,No,293
KIA K5,1.6,4,SemiAuto-8,4WD,Gasoline,large car,5,25,33,28,6,No,316
KIA K5,2.5,4,AMS-8,2WD,Gasoline,large car,5,24,32,27,5,No,332
KIA Niro,1.6,4,AMS-6,2WD,Gasoline,station wagon,7,53,45,49,8,Yes,181
KIA Rio,1.6,4,SCV-1,2WD,Gasoline,small car,3,32,41,36,7,No,250
KIA Seltos,1.6,4,AMS-7,4WD,Gasoline,small SUV,5,25,30,27,5,No,331
KIA Seltos,2,4,SCV-8,2WD,Gasoline,small SUV,5,29,35,31,6,No,283
KIA Seltos,2,4,SCV-8,4WD,Gasoline,small SUV,5,27,31,29,6,No,314
KIA Sorento,2.5,4,AMS-8,2WD,Gasoline,small SUV,5,22,29,25,5,No,360
KIA Sorento,2.5,4,AMS-8,4WD,Gasoline,small SUV,5,22,27,24,5,No,377
KIA Sorento,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,5,24,29,26,5,No,342
KIA Sorento,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,23,25,24,5,No,366
KIA Soul,2,4,CVT,2WD,Gasoline,station wagon,7,28,33,30,6,No,301
KIA Sportage,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,5,25,32,28,6,No,322
KIA Sportage,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,5,23,28,25,5,No,357
KIA Stinger,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,3,22,32,25,5,No,355
KIA Stinger,2.5,4,SemiAuto-8,4WD,Gasoline,midsize car,3,21,29,24,5,No,380
KIA Stinger,3.3,6,SemiAuto-8,2WD,Gasoline,midsize car,3,18,25,20,4,No,437
KIA Stinger,3.3,6,SemiAuto-8,4WD,Gasoline,midsize car,3,17,24,20,4,No,451
KIA Telluride,3.8,6,SemiAuto-8,2WD,Gasoline,small SUV,5,20,26,23,5,No,395
KIA Telluride,3.8,6,SemiAuto-8,4WD,Gasoline,small SUV,5,18,24,21,4,No,433
LAMBORGHINI Huracan,5.2,10,AMS-7,4WD,Gasoline,small car,1,13,18,15,2,No,596
LAMBORGHINI Urus Performante,4,8,SemiAuto-8,4WD,Gasoline,station wagon,3,14,19,16,3,No,554
LAMBORGHINI Urus S,4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,19,16,3,No,554
LAND ROVER Defender 110,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,7,18,20,19,4,No,474
LAND ROVER Defender 110,5,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,19,16,3,No,563
LAND ROVER Defender 130 P300 MHEV,3,6,SemiAuto-8,4WD,Gasoline,standard SUV,7,17,21,19,4,No,480
LAND ROVER Defender 130 P400 MHEV,3,6,SemiAuto-8,4WD,Gasoline,standard SUV,7,17,21,19,4,No,480
LAND ROVER Defender 90,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,7,18,21,19,4,No,465
LAND ROVER Defender 90,5,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,19,16,3,No,545
LAND ROVER Discovery,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,7,19,24,21,4,No,421
LAND ROVER New Range Rover,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,5,16,21,18,4,No,508
LAND ROVER Range Rover Evoque,2,4,SemiAuto-9,4WD,Gasoline,small SUV,7,20,27,22,5,No,398
LAND ROVER Range Rover Velar,2,4,SemiAuto-8,4WD,Gasoline,small SUV,7,20,26,23,5,No,393
LEXUS ES 250,2.5,4,SemiAuto-8,4WD,Gasoline,midsize car,6,25,34,28,6,No,315
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,43,44,44,8,Yes,201
LEXUS ES 350,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,32,26,5,No,346
LEXUS GX 460,4.6,8,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,19,16,3,No,542
LEXUS IS 300,2,4,SemiAuto-8,2WD,Gasoline,small car,5,21,31,25,5,No,355
LEXUS IS 300,3.5,6,SemiAuto-6,4WD,Gasoline,small car,5,19,26,22,5,No,407
LEXUS IS 350,3.5,6,SemiAuto-6,4WD,Gasoline,small car,5,19,26,22,5,No,407
LEXUS IS 350,3.5,6,SemiAuto-8,2WD,Gasoline,small car,5,20,28,23,5,No,385
LEXUS IS 500,5,8,SemiAuto-8,2WD,Gasoline,small car,5,17,25,20,4,No,451
LEXUS LC 500,5,8,SemiAuto-10,2WD,Gasoline,small car,5,16,25,19,4,No,473
LEXUS LS 500,3.4,6,SemiAuto-10,2WD,Gasoline,midsize car,5,18,29,22,5,No,405
LEXUS LS 500,3.4,6,SemiAuto-10,4WD,Gasoline,midsize car,5,17,27,21,4,No,432
